index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
88,DJ Bravo,91,1393,23.610169491525426,124.71,0.6965085049239033,0.3516483516483517,0.6466876971608833
89,DJ Hooda,38,460,15.333333333333336,127.42,0.6149584487534626,0.21052631578947367,0.750788643533123
90,DJ Hussey,61,1316,26.857142857142854,120.07,0.6532846715328468,0.19672131147540983,0.6335797254487856
91,DJ Thornely,4,39,13.0,72.22,0.37037037037037035,0.25,0.38
92,DJG Sammy,20,295,19.666666666666668,117.53,0.6693227091633466,0.25,0.5825688073394495
93,DL Chahar,5,65,16.25,180.56,1.1111111111111112,0.2,0.8620689655172413
94,DL Vettori,16,121,15.125,103.42,0.47863247863247865,0.5,0.625
95,DM Bravo,1,6,6.0,120.0,0.8,1.0,0.5
96,DNT Zoysa,2,11,11.0,122.22,0.4444444444444444,0.5,0.875
97,DP Nannes,2,4,4.0,30.77,0.0,0.5,0.3076923076923077
98,DP Vijaykumar,1,1,1.0,100.0,0.0,1.0,1.0
99,DPMD Jayawardene,78,1800,28.57142857142857,118.58,0.6811594202898551,0.19230769230769232,0.5989053948397185
100,DR Smith,88,2379,28.32142857142857,132.61,0.935340022296544,0.045454545454545456,0.4891835310537334
101,DS Kulkarni,18,96,10.666666666666666,88.89,0.3333333333333333,0.5,0.6
102,DT Christian,34,440,17.6,115.49,0.5144356955380578,0.2647058823529412,0.7155425219941349
103,DW Steyn,32,166,7.545454545454546,103.11,0.45962732919254656,0.3125,0.6388888888888888
104,EJG Morgan,45,854,21.35,117.79,0.6786206896551724,0.1111111111111111,0.5848142164781907
105,F Behardien,3,14,7.0,107.69,0.6153846153846154,0.3333333333333333,0.5454545454545454
106,F du Plessis,52,1459,30.39583333333333,124.59,0.659265584970111,0.07692307692307693,0.687
107,FH Edwards,2,4,4.0,80.0,0.0,0.5,0.8
108,FY Fazal,11,183,18.3,102.81,0.5280898876404494,0.09090909090909091,0.5741935483870968
109,G Gambhir,151,4203,31.13333333333333,119.61,0.6568013659647126,0.10596026490066225,0.6389076196898179
110,GB Hogg,4,22,7.333333333333332,100.0,0.18181818181818182,0.25,0.8571428571428571
111,GC Smith,29,731,28.115384615384613,106.4,0.6142649199417758,0.10344827586206896,0.5273037542662116
112,GD McGrath,2,4,4.0,80.0,0.8,0.5,0.0
113,GH Vihari,21,277,15.388888888888891,86.29,0.3052959501557632,0.14285714285714285,0.6026936026936027
114,GJ Bailey,36,660,24.444444444444446,120.22,0.6375227686703097,0.25,0.6581740976645435
115,GJ Maxwell,67,1398,23.3,155.85,1.0947603121516165,0.1044776119402985,0.5968436154949784
116,Gurkeerat Singh,24,342,16.285714285714285,122.14,0.7071428571428572,0.125,0.6127659574468085
117,H Klaasen,4,58,19.33333333333333,120.83,0.5416666666666666,0.25,0.7619047619047619
118,HH Gibbs,36,886,27.6875,106.11,0.6203592814371257,0.1111111111111111,0.5104022191400832
119,HH Pandya,46,683,24.392857142857146,134.45,0.8070866141732284,0.391304347826087,0.6423529411764706
120,HM Amla,16,575,44.230769230769226,137.89,0.8776978417266187,0.1875,0.6220238095238095
121,HV Patel,14,107,10.7,150.7,0.9295774647887324,0.2857142857142857,0.6949152542372882
122,Harbhajan Singh,85,823,15.528301886792455,131.89,0.8974358974358975,0.3764705882352941,0.5207920792079208
123,Harmeet Singh,4,18,6.0,150.0,1.0,0.25,0.6666666666666666
